contracts,z_thresh,atr_stop_ratio,trail_activate,trail_distance,breakeven_ticks,vwap_slope_thresh,pass_rate,blow_rate,avg_days_to_pass,sortino,expectancy,profit_factor,win_rate,avg_win,avg_loss,risk_reward,n_trades,total_pnl,loo_std,score,val_pass_rate,val_blow_rate,val_avg_days,val_n_trades,wf_score
2,1.2,0.8,8,4,4,0.5,0.565,0.435,10.5,0.107,26.32,1.249,0.4823,273.38,203.85,1.341,226,4688.6,0.0728,55.0436,,,,,
2,1.5,0.8,20,4,10,1.0,0.565,0.43,14.0,0.142,33.22,1.247,0.2917,575.33,190.0,3.028,120,3314.6,0.0833,54.8481,,,,,
2,1.2,0.8,8,4,6,0.5,0.561,0.439,8.5,0.114,30.37,1.267,0.5249,274.68,239.52,1.147,221,5480.8,0.0656,54.7884,,,,,
1,1.2,0.5,12,4,6,0.3,0.567,0.297,23.6,0.119,11.94,1.22,0.3709,178.24,86.1,2.07,213,1946.9,0.1184,54.7407,,,,,
2,1.2,0.65,12,4,6,0.3,0.565,0.435,9.2,0.154,33.71,1.305,0.3866,373.21,180.25,2.07,194,5454.0,0.088,54.7405,,,,,
1,1.2,0.8,12,4,6,0.5,0.567,0.369,21.0,0.103,12.1,1.21,0.3915,177.92,94.58,1.881,235,2185.3,0.1082,54.728,,,,,
2,1.2,0.65,12,6,10,0.3,0.562,0.438,8.2,0.146,36.12,1.293,0.4545,350.86,226.16,1.551,198,6048.8,0.0752,54.6961,,,,,
2,1.2,0.5,12,4,10,0.3,0.561,0.439,10.0,0.132,28.92,1.241,0.4082,364.53,202.53,1.8,196,4576.4,0.0708,54.6833,,,,,
2,1.2,0.5,12,6,8,0.3,0.56,0.44,10.2,0.138,28.56,1.254,0.3889,362.07,183.68,1.971,198,4551.0,0.075,54.5009,,,,,
1,1.2,0.8,12,8,6,0.3,0.564,0.376,20.7,0.109,12.5,1.232,0.4101,161.94,91.41,1.772,217,2105.1,0.1055,54.4703,,,,,
2,1.2,0.8,12,8,6,0.3,0.557,0.443,7.6,0.163,37.33,1.347,0.4158,348.33,184.01,1.893,190,6035.0,0.0616,54.4674,,,,,
1,1.2,0.8,20,8,8,0.3,0.557,0.44,14.5,0.165,18.26,1.298,0.2905,273.71,86.33,3.171,210,3245.6,0.0684,54.3401,,,,,
